school,school_id,district,district_id,percent_not_proficient_math,percent_chronically_absent
Hawthorne Elementary School,663,Sweet Home SD 55,2102,0.75,0.161
Hayesville Elementary School,755,Salem-Keizer SD 24J,2142,0.809,0.149
Hayhurst Elementary School,855,Portland SD 1J,2180,0.33,0.133
Hazeldale Elementary School,1164,Beaverton SD 48J,2243,0.431,0.10099999999999999
Helman Elementary School,377,Ashland SD 5,2041,0.245,0.125
Henley Elementary School,473,Klamath County SD,2057,0.659,0.064
Henry L Slater Elementary School,342,Harney County SD 3,2014,0.612,0.109
Heppner Elementary School,815,Morrow SD 1,2147,0.5720000000000001,0.15
Heritage Elementary,1359,Woodburn SD 103,2146,0.746,0.341
High Lakes Elementary School,3218,Bend-LaPine Administrative SD 1,1976,0.168,0.087
Highland Elementary School,309,Reedsport SD 105,2001,0.6940000000000001,0.18600000000000003
Highland Elementary School,436,Grants Pass SD 7,2054,0.397,0.09300000000000001
Highland Elementary School,743,Salem-Keizer SD 24J,2142,0.83,0.19699999999999998
Highland Elementary School,935,Gresham-Barlow SD 10J,2183,0.774,0.09300000000000001
Highland Hills Elementary School,1034,Hermiston SD 8,2206,0.43200000000000005,0.069
Highland School at Kenwood Elementary School,3219,Bend-LaPine Administrative SD 1,1976,0.159,0.077
Hilda Lahti Elementary School,166,Knappa SD 4,2262,0.677,0.152
Hillcrest Elementary School,204,North Bend SD 13,1966,0.27799999999999997,0.08800000000000001
Hillside Elementary,390,Eagle Point SD 9,2043,0.6890000000000001,0.069
Hiteon Elementary School,1165,Beaverton SD 48J,2243,0.311,0.087
Hogan Cedars Elementary School,3543,Gresham-Barlow SD 10J,2183,0.566,0.11
Holcomb Elementary School,107,Oregon City SD 62,1928,0.701,0.182
Holley Elementary School,664,Sweet Home SD 55,2102,0.8340000000000001,0.067
Hollydale Elementary School,937,Gresham-Barlow SD 10J,2183,0.706,0.18100000000000002
Holt Elementary School,4157,Eugene SD 4J,2082,0.605,0.16899999999999998
Hoover Elementary School,33,Corvallis SD 509J,1901,0.261,0.053
Hoover Elementary School,409,Medford SD 549C,2048,0.37200000000000005,0.071
Hoover Elementary School,744,Salem-Keizer SD 24J,2142,0.715,0.14300000000000002
Hope Chinese Charter School,4867,Beaverton SD 48J,2243,0.17300000000000001,NA
Howard Eccles Elementary School,124,Canby SD 86,1929,0.41700000000000004,0.098
Howard Elementary School,410,Medford SD 549C,2048,0.5459999999999999,0.177
Howard Elementary School,515,Eugene SD 4J,2082,0.6990000000000001,0.149
Hucrest Elementary School,273,Douglas County SD 4,1991,0.573,0.069
Hudson Park Elementary School,171,Rainier SD 13,1946,0.611,0.17
Humbolt Elementary School,327,John Day SD 3,2008,0.465,0.14300000000000002
Imbler Charter School,1079,Imbler SD 11,2215,0.37,NA
Imlay Elementary School,3536,Hillsboro SD 1J,2239,0.45299999999999996,0.087
Inavale Community Partners dba Muddy Creek Charter School,4637,Corvallis SD 509J,1901,0.17700000000000002,0.294
Indian Hills Elementary School,1148,Hillsboro SD 1J,2239,0.534,0.068
Irving Elementary School,585,Bethel SD 52,2088,0.4590000000000001,0.08
Irvington Elementary School,861,Portland SD 1J,2180,0.35700000000000004,0.131
Island City Elementary School,1069,La Grande SD 1,2212,0.40399999999999997,0.192
J Clyde Hopkins Elementary School,1191,Sherwood SD 88J,2244,0.45299999999999996,0.133
Jackson Elementary School,411,Medford SD 549C,2048,0.7190000000000001,0.113
